review,rating,sentiment
"apk mudah digunakan dan nymn udah lama pake shope, tapi tolong lah sekerang pengirimannya shope expres jangan stuck terus dan akhir nya barang hilang lama loh nunggu nya tolong lah di perbaiki lagi masalah kurir",3,netral
mantap topinya kainnya tebal..,5,positif
"di sopee belanjanya nyaman n hemat,",5,positif
produk yg mantap cepat pas sesuai keinginan customer.. trus sukses Shopie terimakasih,5,positif
Pengiriman jelek barang saya di return.udah nunggu lama,1,negatif
"halo ka aku izin tanya terkait akun shopee, ketika selalu ingin masuk ke akun shopee ku kenapa tulisannya aku 'sistem di blokir'? tolong berikan solusinya ka aku butuh buat bayar spinjam di shopee ku",2,negatif
"Alhamdulillah... Shopee tetep bisa menjaga kenyamanan dan keamanan customer,.. termasuk dlm hal return barang & pengembalian dana... Shopee sangat Respect .. Di tambah ada nya variasi model cara belanja via cicilan, dll nya. Customer semakin di manjakan dlm kemudahan dlm berbelanja online. Semoga tetep Is The Best.. 👍👍👍",5,positif
"tolong kepada pihak shope di adakan kontak kurir yng sedang di tugaskan mengantarkan paket di aplikasi, agar kita thu paket dengan kurir nya ada dimana, karena sering sekali ada notif paket sedang dalam perjalanan pagi tapi sampe malam gak sampe sampe bahkan tiba tiba notif paket batal di kirimkan, padahal sudah menunggu sedari pagi, mau kemana2, juga ter tunda karena nunggu paket, makanya kontak kurir di aplikasi di butuhkan biar kita tahu situasinya seperti apa TERIMAKASIH",4,positif
cocok buat belanja,5,positif
"pengirimannya kacau. bagusan dulu waktu ekspedisi pake JNT dan JNE. kacau. SPX parah. pengiriman buat lebaran tahun ini pake estimasinya diundur trus. nnti klo sudah bagus di pengirimannya, baru update lg penilaiannya",1,negatif
agak lambat spx melalui pengiriman,3,netral
"bs ga iklan Shopee jgn terlalu bnyk d apk lain nya?tombol ( ) × juga kecil banget. ganggu wktu lgi buka apk, bc min.",3,netral
"Puas belanja di Shopee, kedepannya kepuasan menjaga tetap pelanggan",5,positif
"Rasanya nagih, enak, pas di kantong, kurirnya ramah🙏",5,positif
shopee iklan melulu di hp aku iklan terus setiap 2 menit pasti iklan,2,negatif
"ngeleg"" entah apk ni kenapa",2,negatif
selalu terbaik pelayanan yang memberikan,5,positif
bagus kalu aku kasih 5 bintang,3,netral
selalu shopee di hati 😁,5,positif
"semua bagus, cuma garansi tepat waktunya betul² bikin kecewa, untuk yg pengen cepat sampai jangan pakai yg ada garansi tepat waktu, sungguh makin lama banget, jauh cepetan yg gratis ongkir. semoga shopee menghilangkan fitur garansi tepat waktunya",5,positif
knp limit sya di bekukan padahal pinjaman sudah di lunasi. saya menta tolong di aktifkan LG. percuma dong sya daftar dgn data pribadi sya KLW ujung² limit y di bekukan.,1,negatif
edit: ini kok sistem pengirimannya masih berjalan ? padahal sudah saya terima paketnya ?,3,netral
shopee memang ok👍,5,positif
aplikasi shoope emang bagus tapi Waktu saya cari barang yg ingin saya beli pasti tidak muncul padahal sudah saya tulis dengan sangat detail,4,positif
saya express karena menemukan opsi pembatalan yg suka,5,positif
tiga aja bintang dulu min,3,netral
aja sekarang payah banget deh kok ada acara verivikasi segala buang buang waktu shopee ga kayak dulu pilih barang langsung belanja parah parah parah,3,netral
aku coba smua bintang sangat kecewa banget awalnya bisa cod kok skrng ngga bisa 🤔🤔kecewa,1,negatif
"Jasa buruk, yang sangat pengiriman barang sya slalu mandek di gudang pngiriman, sistem shopee seakan melindungi jasa pngiriman ktika trjadi ktrlambatan di pngiriman kita tdk bisa mengakses informasi ke pihak kurir atau jasa ekpedisi tentang barang kita, itu sangat merugikan.",1,negatif
sangat puas blnj d shopee,5,positif
jelek sekali udah barang nya ga sesuai dan jasa kirim nya lemot parah lelet tidak sesuai estimasi di aplikasi. mengecewakan sekali belanja disini bikin naik darah aja,1,negatif
mantappp,5,positif
harga des barang dengan harga total itu sama atau beda lagi kak,3,netral
buruk bgt pelayanan pengiriman dishope ini,1,negatif
mudah dan memuaskan terima kasih shoopee,5,positif
knp sih sekarang nga makek jnt lagi padahal udh bagus kaya dulu sekarang mah makin lama,1,negatif
dicoba aja dulu,3,netral
praktis untuk belanja banyak pilihannya banyak bonusnya ok.,5,positif
woilah ngeleg iklan ngotak kontol bisa2 nya lagi buka chrome trus pencet download malah ke apk Shope mana kalo lagi. iklan masa bgt ngentod anj mana kalo iklan Poto trus tombol x nya palsu lagi yg asli kecil seketik debu.,1,negatif
"saya suka belanja di shopee dan sebelum di update app sangat lancar aja,setelah di update semakin lelet padahal jaringan bagus ruangan penyimpanan hp juga banyak tersisa dan ongkir juga bertambah dari sebelumnya app sering keluar sendiri saat dibuka,membuat hp jadi gelap sebentar, sedangkan app lain baik baik aja saat dan buka. mudah-mudahan aja kedepannya Shopee tidak terlalu berat di pemakaian hp saat membuka app nya di juga pengiriman juga tidak terlalu larut",3,netral
kenapa kurir shope gak mau hub pembeli tiba2 dikirim besok padalah saya posisi di rumah,1,negatif
sangat puas...,5,positif
murah mudah dan belanja ya di Shopee,5,positif
"pelayanan sopi makin buruk, bli paket perbiji dengan harga 25 ribu masak ongkir nympe 40 ribuan parah",1,negatif
"Sebagai pengguna shopee, sy telah byk dibantu mendptkn brg2 pilihan sy, namun ada hal2 yg membuat sy kesal terkait pengirimn yg menggunakn rekomendasi kpercyaan di awal estimasi ny sdh ok namun praktekny dlm perjalanan tiba2 jd berubh ke arah yg lebih lama. Tolong konsisten dgn apa yg telah diposting agar kurir, tetap terjg.",3,netral
"Aplikasi Paling Lemot / Lambat,, Bahkan Di Hp Kelas Flagship Dengan Prosesor Flagship Pun Masih Bisa Macet2 Dan Lemot Nih Aplikasi,, Kelemotan Aplikasi Bikin Geram Jengkel,, Saya Sudah Korban 2 Hp Gara2 Nih Aplikasi,, Ku Kira Hp Ku Yang Lemot Ternyata Aplikasi Nya Yang Lemot,,",1,negatif
"buset padahal spek hp gw lumayan tinggi buat nge game rata kanan, tapi pas buka shopee ngelag nya minta ampun, tolong dong itu kenapa ya 😭😭😭😭",3,netral
"semakin banyak sekarang tambahan. udah ada biaya penanganan, biaya nambah biaya pengemasan khusus. jadi males belanja nya.",3,netral
"Kadang ada toko online yang penilaian dari konsumennya buruk, tapi masih tetap dijadikan rekanan sama shopee.. Tolong lebih diperhatikan lagi sebagai perhatian buat shopee, karena saya sendiri pernah mengalami beberapa hal tersebut, misalnya barang tidak ada sampai bahkan tidak ada tindak lanjutnya padahal saya pesan langsung bayar, ada juga pesan barang A yang datang malah barang B",3,netral
"saya sangat suka dengan aplikasi marketplace ini ,ferfomanya bagus walau kadang ngeleg karna data tapi aplikasinya menurut aku bagus banget👍👍the best pokoknya 💖",5,positif
selalu belanja di toko orens... gx prnah kecewa,5,positif
Ok banget,5,positif
biaya ukuran khusus ini apa?,1,negatif
"shope sekarang sering banget ngeleg,sistem eror,ga bisa di refresh,nonton vidio/live ga bisa,,buka chat toko ga keseringan wifi bagus,,,,,tolong di perbaiki,kalo bisa,,,padahal eror begini,bikin kesel",3,netral
pengiriman sekarang lelet. . banyak barang dikirim melebihi waktu. . sangat merugikan,1,negatif
"dulu suka bgt pesan Disni TPI semenjak pake expedisi sendiri jadi laammaaa bgt sumpah apalagi Ongkir ke daerahku tuh mahal bgt bgt walaupun udh ada gratis ongkirpun tetap bahkan ada yg sampe ratusan ribu tp ga apk sih. pengiriman lama bgt ngalahin yg PO, estimasinya berubah ubah.di masalah sebelah walaupun emng sama mahal ke daerahku tp sampe ga sampe 4 hari, ini ygbuat malas bgt belanja disini🥲",3,netral
yang penting amanah dan penjual yang ga amanah harus di bannet,5,positif
Tidak bisa saya pungkiri bhw shopee memang sangat membantu utk memenuhi kebutuhan pekerjaan saya.,5,positif
shoppe puas dengan sangat,5,positif
Belanja murah Di Shopee,5,positif
"Jasa pengiriman yang sangat buruk, barang sya slalu mandek di gudang pngiriman, sistem shopee seakan melindungi jasa pngiriman ktika trjadi ktrlambatan di pngiriman kita tdk bisa mengakses informasi ke pihak kurir atau jasa ekpedisi tentang barang kita, itu sangat merugikan.",1,negatif
membantu untuk semua orang,5,positif
aplikasi andalan,5,positif
aplikasinya flagship bener walau pakai hp kelas lemot sekalipun,3,netral
"Tidak Bisa veeifikasi KTP , sudah di laporkan , tapi tidak di selesaikan masalanya",3,netral
Shopee pelit bgt nyaa. koin nntn live ngasi,3,netral
untuk aman aman sekarang saja si beli di shopee,5,positif
baru pertama kali sih belanja di shopi,5,positif
barang sesuai kita keinginan,1,negatif
padahal koneksi bagus malah gak bisa downlod,1,negatif
kenapa yang 30 hari di jadi in 28 hari hadeh,1,negatif
aplikasi bagus cukup nya,3,netral
ok walaupun lag dikit,5,positif
aplikasi yang sangat membantu untuk berbelanja di zaman digital,5,positif
kelamaan kalo pesen instan/sameday gak dapet dapet gojeknya buat apalah,1,negatif
akun.. .. lebih di tingkatkan.. kecepatan pengiriman.. dan.. keamanan mantap supaya tidak mudah di heck,5,positif
"aplikasi yang katanya sipaling tepat waktu ini nggk amanah kalau nentuin estimasi, paket selalu ngestuck di satu tempat yang sama di waktu yang lamaaa banget.",1,negatif
suka nonton liff,3,netral
"sofe kurirnya payah di jakarta barat dan kosambi tangerang sudah seminggu paket belom sampe.. lelet, sampai 4 kali tanda bukti.",3,netral
UDAH LAMA NGUMPULIN KOIN MALAH ILANG BANYAK GEGARA MAIN MESIN CAPIT EMAS GA?) GADAPAT APA APA(GANTI DAN,3,netral
"servernya buat event itu yang niat ada event besar tapi kalau lag atau down, sebaiknya kalau ada event itu lebih baik di undi lewat live atau apa kek",1,negatif
"Agak lelet tapi barang nya bagus"" sesuai dengan pesanan",3,netral
iklan lu banyak bgt,1,negatif
ongkir nya kok lebih mahal dari pada beli nya,3,netral
akun dibatas,3,netral
"shopee makin kesini makin parah,mau chat CS susahnya,penhiriman SPX payah,parah,bobrok,kelamaan,muter2",1,negatif
Shopee adalah yang terbaik,5,positif
"kok lama-lama Shopeenya bug gitu ya tolong barang nih aku mau mesan 1 misalnya harganya itu murah dari 1000-4000 tapi ngak bisa,bisa malahan eror gitu tulisannya (silahkan coba lagi nanti) udah di coba tetep ngak bisa-bisa (tolong di perbaiki ya) makasih",3,netral
"Mantapssss👍, , , joss sesuai amanah ...",5,positif
sangat membantu dengan adanya aplikasi Shopee Indonesia ini,5,positif
minta tolong pas masuk jangan langsung masuk ke vidio atau live hp saya langsung ngelag kok makin aneh nih shoppe,1,negatif
"KATANYA APLIKASI INI AMAN, TPI BANYAK TUH PENJUAL²YG SUKA NIPU/BARANG NYA BANYAK YANG PALSU😟",3,netral
dah lah dua kali order batalin di malah trs,3,netral
belanja lengkap belanja nyaman dan terjangkau memang di shopee,5,positif
"payah, pengiriman lelet",1,negatif
"aplikasinya bagus..kurir dan admin kacau nya area Bogor cs bikin kecewa,rasanya lebih nyaman pakai lazada",1,negatif
"memudahkan membantu bgt kl berbelanja di shopee , sangat kami tuk berbelanja, trimakasih buat shopee",5,positif
tapi baru mau coba sampai lewat soppy tp blm beli mungkin Krn dekat lebaran ya,5,positif
"Aplikasi belanja online paling laris taoinjujur banyak drama belanja di shopee, pengiriman SPX EXPRESS yang buruk dan ketentuan sebelah yang memberatkan shopee pihak",2,negatif
pengiriman nya lelet bngt skrng mah..dlu 2-3 hri nympek skrng 4-5hri😩😩😩,3,netral
alhamdulillah shopee koin dari dapat,3,netral
NGERI SUDAH TERORNYA TELAT SEMINGGU JUGA DI TEROR SANA SINI,1,negatif
jadi simpel belanja gak perlu ribet kemana mana,5,positif
shopee makin ke sini makin buruk pengiriman barang sering di tunda tunda tidak sesuai estimasi,1,negatif
"pake VIP cuan banget , tinggal sering2 mantengin voucher sama nungguin event-event nya ,👍",5,positif
"kenapa jadi ngelag iya mau buka live gak bisa terbuka sampek sekarang ,katanya downloading menyiapkan fitur jadinya loading terus.",3,netral
"aplikasi shopee sekarang lebih ngeselin dari biasanya ya. disuruh verifikasi tapi puzzlenya ga bisa diacc/diapprove dan NYEPAM pula (padahal jawabannya udah benar). jujur ini jadi males make appnya karena udah ga bisa gerak kemana2, kalau sistem verifikasi ini masi dipersulit kaya gini mending pindah aja deh ke situs belanja yang lain",1,negatif
"Sumpah ya, dibikin kesel sama spx. Bukan sekali dua kali lho paket saya di retur tanpa alasan jelas. padahal dia kirim kerumah tanpa mengabari terlebih dahulu tapi main retur² aja. gila gilaaa. tolong dong pihak shopee, sediain jasa kirim lain selain spx atau shopee express. mereka semua rata² kurirnya malas dan culas. nanti saya tambah bintangnya",1,negatif
👍👍👍👍 emang T O P dah shoope,5,positif
"wahai Shopee ada toko yang bernama 'rsdvn' toko itu menjual mukena dan sarung, tapi dia nipu toko itu penipu, tolong di tindak ya karena barang yang di kirim palsu, dan belum ganti rugi sama sekali, mohon tindakannya. toko tindak. bilang nya sih 'kami kirim ulang kak, di tunggu ya' sudah dua harian tapi gaada bukti apapun yang dikirim. dan khusus buat Shopee aplikasi yang lumayan bagus dan kompetitif saya pribadi suka guna apk ini, tapi untuk Shopee tolong hati hati lagi ya, setiap kasus di itu",3,netral
"aplikasi bagus..tapi saya beli barang lama di perjalanan dan barang saya tolak pihak shope sudah menonaktifkan sistem pembayaran COD saya..gk papa lah perlu di garis bawahi klo Pembeli itu Raja..salam santun,by : GASHAK 87 sampit-kalteng..tanks you",3,netral
lama banget food pengambilan dana di Shopee proses,1,negatif
"aplikasi nya itu bagus dan selalu kalo belanja aku pakai aplikasi ini, cuma rasanya aplikasinya tu kek berat banget kek gampang ngelag dan macet",4,positif
"shoopee nge-glitch, nge-bug 😤😒🤔",1,negatif
SUKAAA BNGTT SMA SHOPEE INI BNYAKK VOCER AND JUGA PENGIRIMAN NYA CEPAATT!!! JNGAN BOSEN BOSEN ADAIN VOCER GEDE GEDEAN YAAAA,5,positif
"Terlalu banyak fitur yang ngak berguna membuat hp serasa berat jadinya klo buka shopee, tolong dong efisiensikan fitur yang ngak terlalu berguna",1,negatif
"KLW mau belanja online sy LBH nyaranin di aplikasi ini,,jujur amanah dan terbukti dan terpercaya",5,positif
shopee jadi jelek gak tepat waktu pesanan saya janji tgl 27 bebwari yampe meral tgl 3 Maret kata ya DTG ya barang jgn salah kan konsumen bila perlu hapus aplikasi ya,5,positif
sopi spx lambat,3,netral
bintang yg berbicara,5,positif
"saya akun akun saya,karena hp+nomor hilang/tidak aktif bagaimana saya login kembali ke lupa saya",3,netral
"hallo shoppe, saya selalu belanja disini untuk semua barang dan kebutuhan, tapi kenapa akhir² ini etimasi tiba dan update pengiriman, kemas, atau paket yang selesai tidak sesuai dengan jadwal yang tertera, contohnya : saya agar barang di tgl 14 ,etimasi tiba tertulis di tgl 17-18 , tapi sampai di tgl 21 paket belum juga tiba, dan secara tb² etimasi berubah², tolong segera di perbaiki co kami tidak merasa kecewa.",3,netral
kelewat kok pengiriman lama ya padahal sudah hampir sampai lokasi malah puter balik padahal udah estimasi nyampe nya udah sekarang,2,negatif
"spx gaje, pdhal estimasi mulu. lewatin buat hadiah sekeluarga",1,negatif
"aplikasi kesayanganku kok jadi tinggi banget ya biaya ongkirnya, sekarang sedih dan mikir2 untuk belanja.",3,netral
belanja jadi mudah,4,positif
Pesanan terlambat katanya diberi kompensasi keterlambatan harus kenapa tapi ada syarat minimal belanja lebih besar agar bisa memakai voucher nya ? apakah ini disebut kompensasi ?,3,netral
!! semarang ruwet Dc,2,negatif
di shopee ada toko yg jual tablet Black Market..tapi di bolehkan. soalnya saya pernah beli barang 4G/5G tapi imeinya terblokir bea cukai..alhasil tidak ada jaringannya.,3,netral
sekarang shopee baru jadi lambat 1 Minggu pengiriman nyampe padahal aku di Jawa Barat,3,netral
gamenya selalu bermasalah. males,1,negatif
sekarang tida bisa cod lagi GK kaya dlu,2,negatif
"nyedot kuota nya gede banget, mana banyak lag nya.",1,negatif
DZOLIM GAKJELAS MISI BIKIN ATURANNYA TAPI AFFILIATE YG KENA IMBASNYA,3,netral
aplikasi sudah bagus buat belanja online tapi jasa pengiriman nya tidak ada yang beres yaitu jasa pengiriman spx sudah 3 paket pesanan saya tidak pernah diantarkan,1,negatif
ganggu banget iklannya,3,netral
sebenernya aplikasi ini ngebantu banget cuman pada saat penilaian barang kalo mau lagi vidio harus kurang dari 60 mb sedangkan ukuran 60 mb itu gatau harus berapa detik vidionya jadi kalo barang tidak sesuai susah buat kasi bukti. tolong d update cantumin min biar vidio unboxing gak harus ada batasan,3,netral
mantap belanja di shopee jadi lebih mudah,5,positif
"shopee ini tolol ya lama lama, loading lama padahal sinyal bagus bego banget siii anj",1,negatif
sdah langanan bertahun2.. udh blnja kali dh hbs ratusan juta. udh member platinum. tp ko shopee makin ksni mkin pelit gratis ongkir. 😅😅,3,netral
"sekarang Minggu dah lambat penyampaian rata"" 2 shoope an ..sudah zaman mirip wesel pos.😄",3,netral
"pengiriman SPX parahh. telat seminggu barang stuck. pihak managemen tidak mau mencari karyawan baru, padahal pengiriman sudah membludak. matikan saja layanan expedisi SPX, msh berkompeten expedisi lainnya yg gercep.",1,negatif
"parah si oknum kurir shopee masa ngambil untung 7.500, jadikan saya sudah nyiapkan uang 89.500 untuk dua paket, paket 1:power bank harganya 87.289 aku siapkan dana 87.500, trus ku siapkan juga 2000 untuk pesanan cashing hp krena saya dapat potongan hrga dari voucher, karena saya percaya sama si oknum kurir ini, saya tinggalin uang 89.500, secara hitungan harusnya uang yg tersisa setelah trbayar paket cashing hp itu 87.500(krena powebank blm datang), nah ini kenapa sisanya 82.000",1,negatif
pengiriman barang nya ngaret pilih masa yg lebih gesit lh🙄 lama bgt kurir dtg' udh mw 1 minggu edan,3,netral
"apan sih lu iklan di mana mana, gk di no pun malah langsung masuk apk nya pokonya pencet rispek",1,negatif
"aplikasi aneh , paket udah menuju alamat tapi ga ada info kurir nya siapa , terus malah ga sampe2 di batalin terus udah 4x... aplikasi jelek , sistem nya jelek... klaim voucher keterlambatan cuma 10ribu doang... mending aplikasi sebelah deh",1,negatif
"iklan shopee nih terlalu memaksa yaa tiba tiba iklan teruss menerus, bikin kesal aj nih iklan. tolong dong jangan terlalu memaksa terimakasih",3,netral
makin gak jelas,1,negatif
buat aku ini bagus banget,5,positif
makasih shopee semoga yg kerjasama sama shopee tokonya semuanya amanah,5,positif
"aplikasi yang merugikan seller dan pembeli, paket hilang lebih dr 2 x nggak ada ganti rugi, cs nya diganti sama ai, mikirin untung doang nih aplikasi.. real kapitalis.",1,negatif
"bagus harga juga sangat terjangkau cuman durasi pengiriman nya terutama sangat lama, yang paket yang transit di Tanggerang.",3,netral
"shoppe kebanyakan bacot live chat nya ga jelas ga ada solusinya. paket estimasi tanggal 13-14 maret sampai sekarang tanggal 16 Maret ga dateng2 padahal nama nya spx expres pengiriman nya . diajak nyari solusi jawaban nya hanya tunggu laporan 1x24 jam , sedangkan laporan udah masuk dari tanggal 14 malam nya , sampai sekarang laporan lagi disuruh tunggu lagi . gimana ini solusinya paket gua shoppe.",1,negatif
Alhamdulillah dikasih cobain shopee VIP 1 bulan dengan banyak voucher diskon. insyaallah kalau ada rezeki bulan depan mau perpanjang,5,positif
Shopee pelit bgt ngasi koin nyaa. live nntn,3,netral
"pengiriman sangat lamaaaa ,kurir sangatt lamaaa ,pokoknya nga one wortt ,ga time itt ,ngaretttt ,",1,negatif
oklah klu begituh,3,netral
kurir nya spx lama apalagi yg di gak nguter kayak pusat niat nganter,3,netral
makin banyak seller prodak palsu berkeliaran di sini. better dikasi lisensi prodak bikin deh daripada asli resah customer,3,netral
iklan terlalu maksa,1,negatif
setiap shopeefood selalu dibatalkan. hampir nunggu udh 2 jam,1,negatif
"Sekarang beralih ke aplikasi ini ...karena memang paling top utk aplikasi belanja sekarang...cuma sayangnya paling sebal dr aplikasi ini,pas buka aplikasi itu lgsung yg terbuka itu video2,jdi menguras kuota...juga bikin lemotttt",3,netral
shopee sangat menarik,4,positif
"MESEN BARANG MUTER AJA DISITU "" "" GA LAGI "" DE",2,negatif
kalu bagus aku kasih 5 bintang,3,netral
"2026 turun bintangnya, cause banyak seller bodong sekarang. banyakbarang maklon yg gak ada kualitas.",2,negatif
"udh di titik kesel pke bgt, paket stuck dtmpt 2hr, pdhl sesama cibinong, dan paket pengiriman dr tanggerang ke cibinong 5 hr blm smpe,, minta solusi suruh nunggu kurang lebih 4 hr sm cs.. sbnrnya mls review kya gni, tp ini puaraaaah bikin keseell. tolong dong tambahin nmr kurir ny biar mudah, kaya app sebelah.",1,negatif
aplikasinya bagus tapi sekarang ga mau COD bagaimana saya bisa beli tapi ga bisa COD saya harap setelah ini bisa COD lagi. padahal akun baru langsung ga bisa COD agak kecewa sihh,3,netral
bagus bagus si ni shoope tapi kadang datangnya lambat,4,positif
bagus apk nya,5,positif
"pengiriman lama,barang saya mau hampir seminggu blm di kirim,masih di gudang!!",2,negatif
kok aneh ya ngomong bagus malah minta maaf opratornya Laen aneh agak kan tapi lumayan lah aplikasi nya bagus,1,negatif
"paket semakin lama yg tujuan sumatra,sering stuck di bogor cileungsi dc",3,netral
"SPX LELET ABISSSSSS, GA NGERTI LAGI GW",1,negatif
"halo shopee kenapa pembayaran cod 1 di blokir, saya tidak pernah membatalkan pesanan saya terkecuali kemarin saya kali saya batalkan karena terlalu lama datangnya makanya saya batalkan, lain kali kalau ada masalah kompirmasi dulu, terimakasih",3,netral
Kecewa belanja di Shopee. Saya sudah melampirkan bukti2 tapi pengajuan dana tetap ditolak. saya pesan seblak 1 kilo yang dikirim malahan tasbih plastik. saya cek no resi yang dikirim tapi no resi tidak ditemukan.,1,negatif
"halo shopee kenapa pembayaran cod saya di blokir, saya tidak pernah membatalkan pesanan terkecuali saya kemarin 1 kali saya batalkan karena terlalu lama datangnya makanya saya batalkan, lain kali kalau ada masalah kompirmasi dulu, terimakasih",3,netral
"apk kebanyakan verifikasi,tiap masuk verifikasi",1,negatif
"playstore ga BS update, pdhl jelas apk dr ko dibilang bk dr sumber aslinya",3,netral
makin semoga bagus pelanyananya,3,netral
"jujur udah lama make Shopee tapi sekarang gatau kualitas pengiriman lama estimasi lewat, pesanan di batalkan tanpa pemberitahuan, kurir cuek menurun, kirim pesanan, semoga cepat ada pemulihan",3,netral
