text,true_label,pred_label
"Sebagai pengguna shopee, sy telah byk dibantu mendptkn brg2 pilihan sy, namun ada hal2 yg membuat sy kesal terkait pengirimn yg menggunakn rekomendasi kurir, di awal estimasi ny sdh ok namun praktekny dlm perjalanan kpercyaan jd berubh ke arah yg lebih lama. Tolong konsisten dgn apa yg telah diposting agar tiba2 tetap terjg.",1,1
nixh di pakai GK bisa buat belanja,1,1
Tidak ada kata lain selain Mantaaapp belanja di shopee.. sukses slalu shopee Indonesia jangan bikin kecewa pelanggan shopee ya,2,2
melalui lambat pengiriman agak spx,1,1
buat belanja oke.. yg ngaktifin kecewa paylater udh 4x gak di acc,1,1
"tiap buka shopee langsung muncul live, bagi saya itu mengganggu. tolong live jangan langsung muncul saat buka aplikasi",1,1
"kebanyakan iklan dan lemot jadi berat bgt video ngeheng, ngeselin kan padahal mau belanja",0,0
saya suka banget belanja d shopee selain murah pesanan nya jga sesuai . dan draiper nya juga ramah2😊😊,2,2
"tolong tapi barang ke jasa kirim itu yang punya tanggungjawab,Jagan ngasal barang stuck hampir 1/2 bulan memberikan Ngada tanggung jawab...😡😡😡",1,1
"apk ngebug benerin dulu,masa dari tanggal 1 sampe tanggal 4 masi stuck di semarang,padahal barang segera mau di pakai",0,0
"kecewa pengantaran yg tidak jelas terhadap paket secara pengantaran kurir spx membatalkan saya sepihak dengan alasan tidak ada rute buat kesini, gak lagi lagi dah belanja disini buat kalian mending pindah apk saja di apk lain biar gak kejadian hal yg sama",0,0
terbukti aman dan tidak berbohong pada penjualan nyaa,2,2
tolong di benerin lagi di flash sale saya kalo ke halaman flash sale suka erorr tolong halaman perbaiki lagi,1,1
cari toko yg amanah Krn kalau gak amanah beli!!🙏🙏 d rugikan pembeli dan kebanyakan pembeli tu GK mau ribet ngurus pengembalian barang yg SDH d yg,1,1
aplikasi apa ini paket bisa hilang mana nggak ada nomor kurir yang antar lagi,0,0
SAYA KECEWA DGN SHOOPE JIKA KURIR BUKAN DARI SHOOPE KADANG KURIR ANTERAJA YG DI TUGASKAN OLEH SHOOPE DAN BARANG TDK BOLEH DI CEK DAN HARGA 200 PERAK DI BULAT BULAT MENJADI 1RBU BUKAN PELIT TAPI AMANAH HARGA YG DI PERMAINKAN KURIR,1,1
untuk shope sya komentar sikit kenapa saya tidak jam bayar ditempat saya telat sikit ngambil dah d retur sama kurirnya kadang d sini tidak semua tempat ada jaringan nya blom juga Sampai 24 bisa dah d return sebenarnya saya suka dengan aplikasi ini untuk shope tolong kembali akun saya untuk bisa bayar d tempat,1,1
"bagus. ga ada saran,kritik,atau apapun hehe:>",2,0
semua memang terbaik solusi shopee nya,2,2
"maaf sebelumnya saya kasih reting bintang 3 dari belanja sudah bagus tapi basa 1 masalah nya kan saya iseng coba ai neko.ai nya itu terlalu tegas saya tahu itu bagus. tapi kurang nyaman aja,maasa cuma salah ketik!!di bilang bohong habis itu dia keluar dari chat.kayak ada kesan di anggap cuma basi.apalah",1,1
"pembayaran saya wajah saldo Shopee jadi susah verifikasi wajah gagal trs , kirim ke rekening bank juga gak bisa mentok di verifikasi pakai pdhl muka masih sama .. solusi min gimana, ada saldo gak bisa dpkai apa 2",1,1
"rudet,amit2 ih,aplikasi ribet paling",0,0
sudah daftar shoope pake tetap tapi no.baru gak bisa cod kenapa ya,1,1
Pengiriman mengecewakan ..,0,0
makin kurirnya pengiriman barangnya. lama kurang kompeten,1,1
"STOOPP JADI IKLAANN PLISS, NGESELIN BANGETT setidaknya tau diri lah dan jangan berlebihan kalau sekedar iklan.. kayak maksa banget buat di download, mengganggu banget tolong",0,2
"bagus tapi kenapa ahir ahir ini chat shopee suka eror terus ya, jadi suka bingung kalo gimana buru buru pesen sesuatu chat nya lg tolong diperbaiki 🙏🏻",1,1
"chat ke CS selalu dibalas dengan bot, dan botnya sangat ngotot meminta penjelasan masalah, padahal masalah saya tidak bisa diselesaikan via chat Bot.",0,0
"tolong ya dicari pencariannya diperbaiki, yang mesin apa tapi hasilnya gak relevan",0,0
sopi spx lambat,1,1
"Sdh ditunggu in selama 2 minggu malah ga dtang"" barangnya. pdhl estimasinya 1 minggu tpi kenyataannya bisa lebih",0,0
vocher yg didapet dari keterlambatan estimasi gk pernah muncul ato gk bisa dipke sama sekali walaupun sudah diklaim,1,1
"berhari hari pesanan tidak bergerak sama sekali masih DC,sekarang pengiriman sangat lama sangat tidak nyaman",0,0
mantap dan sangat ongkir mempermudah belanja + gratis bagus juga. trimakasih,2,2
cepat tanggap,2,2
saya sangat puas berbelanja di toko online ini,2,2
bagus si tapi kenapa metode pembayaran COD harus di kasi membantu padahal metode itu sangat pembatasan bagi pelajar,1,1
"Shopee makin kesini makin susah dan dipersulit.. aku ganti akun gara2 g bisa klaim koin katany akunku pernah melakukan aktifitas mencurigakan, padahal aku aja g pernah ngapa2in cuma belanja2 kayak biasa, trs belum lamak ini kakakku saldo Shopeepayny ketahan g bisa diambil padahal udah laporan tapi kurang ada tanggapan dan solusi, trs aku g suka bgt nih sama Ai nekony klo ngomong judes bgt, g nyambung lagi, ubah dong bahasa nekony yg sopanan dikit, bikin kesel aja pas Ramadhan 😡",0,0
Terlalu AI jawabanya blm kebanyakan sellernya dan baca,1,1
saya dll coba ya,1,1
pengiriman nya lama,0,0
baru perta .untuk mencari kebutuhan alat motor info yang mencual segaka kebutuhan .dan harga terjangkau,1,1
cukup memuaskan belanja Shopee di,2,2
Sistem sopee nya eror nggak pandang akun seenaknya sendiri batalkan pesanan . Php pelangan setia perlu perbaruan sistemnya sering mbatalin pesanan padahal akun lama sudah platinum pula . Tapi suka2nya batalin pesenan pelangan. Sering ngebug parah.,1,1
Shopee memang ok,2,2
allhamdulilah shope ini tidak perna tertipu Dangan barang nya.... 1. barang nya rapih dan bagus . 2. barang Nye murah murah. dan tak perna mencewakan.......barang bagus semua... 3. bintang aku kasih. seribu bintang💪💪,2,2
skrng pengiriman nya jadi seperti karna muter2 ga lama dulu,1,1
"bagus, tapi yang bikin kesel tuh pengiriman suka ga tepat waktu, terus kalau iklan kenapa maksa sih???? masuk ke app nya bgt",1,1
"pertama pertama nya mah iya cepet datang paketnya tapi pakai kelamaan lama shopee, udah telat 3 hari masih belum datang. CS nya bagus fast respon",1,1
"Aplikasi kemaruk, semua dijadikan 1 dalam wadah yang pake sebenarnya suka dan puas sama. apk ini. tapi kendalanya baru buka apk belum lama udah muter² aja.",0,0
plis iklan shoope maksa bgt..,0,0
"bagus IKLAN bagusss bgt, tp pliss sih NYA MAKSA BGTT, ada di manaa² tlngg bikin kesel setiap gasengaja kepejet iklan langsung masuk akun shopee!",1,1
sy sangat puas dengan pelayanan nya,2,2
saya belanja di shopee dari tgl. 22/02/2026 sampai hari ini muncul di aplikasi shopee tertera masih di kemas....padahal saya juga belanja di shopee dg hari yg sama dan jam yg sama barang yg pesan di market lain sudah sampai...di NESO masih dikemas...trus kapan mau dikirim. sdh di chat ga dijawab2 penjual nya.,0,0
"Gw baru 1 bulan coba Shoope VIP dan experience nya sangat baik contoh : sampai promonya & paket bisa di antar lebih cepat‼️ Tidak cuma itu kalau kita hubungi CS nya Fast Response. But Honestly semua yang ada di Shoope VIP itu gratis di TIKTOK SHOP ‼️Gratis pula dengan tambah ongkir sedikit paket lebih cepat banyak daripada Shoope VIP, dibandingkan dengan SPX Hemat⁉️. CS JNT juga Fast Response banyak juga voucher diskon👍. Jadi ini PR untuk Tim Shoope kedepannya",1,1
Fitur permainan Neko menurut saya sering mengajukan pertanyaan yang terlalu personal dan menyentuh privasi. Tidak semua pengguna nyaman membahas hal sensitif dalam konteks permainan. Mohon ditinjau dan diperbaiki agar pertanyaannya lebih netral dan nyaman bagi semua pengguna. Terima kasih 🙏,0,0
"top op e money ga masuk tapi status pembayaran berhasil, lucu",0,0
beli token udah semaleman dari lebih tp nomer token ga muncul2. parah,0,0
"Sangat baik ,memudahkan.",2,2
"ngelaggg trus padahal jaringn bagus, udah itu games nya yg bedug shopee auka bermasalah terus padahal main secara adil tidk curng. anehhh kecewa bngt👎🏻👎🏻👎🏻👎🏻",0,0
tempatnya belanja nyaman.,2,2
SEMUAA ADAA DISINII,2,2
untuk para pengguna shopee nya ingat anda bayar ongkos kirim mahal tp sebenarnya itu hanya untuk keuntungan aplikasi saja. pesanan anda di gabungkan sama punya orang lain. dan di antar sama 1 driver. seperti instan cuma sekedar nama saja instan. tp di balik itu ada kerakusan aplikasi. jd lebih baik berpikir lah untuk bayar mahal karena yg driver terimakasih itu tidak ada separuh belanja. dr yg anda bayar. mohon buka mata anda buka hati anda agar kita sama sama bisa memanusiakan manusia.,0,0
tolong perbaiki di estimasi dan lacak paket. karena sering pakai sistem COD kukira belum ke pengantaran jadi belum ku tingali uang. jadi sering barang sudah tapi sampai belum ada notif masuk.,1,1
mendukung sangat belanja online,1,1
👍👍👍👍👍👍👍👍👍,2,2
Alhamdulilah bs mmpermudah belanja gk kemana mana.. Tp hrga lumayan mahal juga bisa ongkirnya mahal👍🙏kalau karn jika telat pengiriman ada pengurangan harga 10.ribu harusnya begitu? Bukan bonus vocer belanja yg tdk bs dipkai terkecuali belanja lagi. Itu tdk semua org selalu pngen belanja trs,1,1
mantap aplikasi nya sangat membantu,2,2
"tolong perbaikannya, aplikasi tidak bisa dibuka, loading sinyal padahal terus stabil",1,1
halo kak aku punya utang di spay yang lama cuma sekarang nomornya udah hangus passwordnya lupa aku mau bayar spay aku itu karena dapet uang thr takut lupa lagi cuma pas udah pake tolong cs belum ada kemajuan tolong ya kak mumpung thr dan belum lupa aku pemgennya akun baru daftar minta ktp aku biar bisa bayar utang spaylaternya,0,0
"kecewa berat kalo nganter paket sering lamakadang 1 minggu lebih baru samapai., kadang rusak kalo dateng gak rispek kecawa😌😔😌😌",0,0
"adanya Shopee., belanja lebih mudah,",2,2
👍👍👍👍👍👍👍👍👍👍👍👍👍,2,2
"dulu suka belanja di Shopee bahkan tv, kulkas, mesin cuci saya beli di Shopee tp sekarang malas banget datang nya lama lebaran tahun lalu sampai 30 memperbaiki saya belanja, tp tahun ini cuma 4 paket saya 🙃itu pun nunggu nya 3 minggu, semoga kedepannya Shopee paket lagi pengiriman nya",1,1
"halo shopee kenapa pembayaran cod saya di saya blokir, tidak pernah membatalkan pesanan saya terkecuali kemarin 1 kali saya batalkan karena terlalu lama datangnya makanya saya batalkan, lain kali kalau ada masalah kompirmasi dulu, terimakasih",1,1
sangat membantu belanja di shopee mudah dn cepat,2,2
semoga sukses dan lancar,2,2
"suka bgt belanja disini walaupun jarang tapi aku kan remaja jadi mageran, jadi kalo mau beli barang di shopee kadang di hp mama sih karna hp aku sedikit ngelag wkwkwkwk",2,2
bagus tapi setiap mau mesan shopeefood belakangan ini gabisa opsi cod Mulu padahal dikasih opsinya bisa gitu,2,2
"sistemnya penyiksa mitra.bukannya argonya di bagusin malah aplikasi di rusak.buat yg sering belanja di shopee,promomu adalah siksaan bagi kami driver",0,0
banget susah sekarang dapat driver klo Shopee food masa nunggu setengah jam buat nunggu dapat driver bahkan kemarin sampe sejam loh nunggu makanannya udah jelek bgt nih Shopee food,1,1
"apk nya bagus tapi bagi saya pengiriman pakenya berlangsung bisa lama,dan bahkan butuh waktu yang lebih dari 2 minggu. mohon agar pengiriman paketnya sangat dipercepat.",1,1
"jualan di shopee udah 9 tahun. udah jd penjual star +, udh produk pilihan lokal dan garansi harga terbaik, tapi gara2 ada Customer order dengan jumlah nominal besar langsung kena pelanggaran terindikasi transaksi mencurigakan. langsung promo extra sama. bisa digunakan, smua promo yang disediakan shopee tidak bisa di pakai. anehnya di point pelanggaran bersih. setiap complain jawaban tidak BERJALAN SUDAH 3 BULAN. akhrny costumer pindah platform co karena udh bnyak langganan jual barang costume",1,1
"paket semakin lama yg tujuan sumatra,sering stuck dc bogor cileungsi di",1,1
"aplikasi bisa sangat bagus, tapi kekurangan nya suka sering ga nya cod",1,1
enak banget cepet proses kemasnyaa,2,2
SPX lamaaaaaa... ganti kerjasama dgn JNT lg ajaa..cepet..apalagi lebaran gini...,0,0
Iklan nya menggangu sangat,1,1
agak kurang bagus saya yg dari dulu sampai sekarang blum juga teratasi. padahal saya sudah mencoba berbagai cara.dan pas saya keluhkan ke shoope tanggapannya itu itu doang. tapi selain itu semuanya bagus kok. puas.masalah banget malah,1,1
"barangnya murah dan hemat, tapi ngumpulin koin sama main game nya bikin naik darah dan ngeselin, mana katanya tanggal sekian koinya dikurangin dasa",1,1
aplikasi nya bagus cuma iklan nya menggangu,1,1
kadang mahal kadang murah,2,2
Rekomendasi tempat belanja online..ya disini Shopee..😁👍👍,2,2
apk banyak penipu di masih,1,0
Allah huakbar subhanallah paket saya sudah dikembalikan semua ini apa sebenarnya yang terjadi 😭😭😭 ada apa saya selalu bayar baik yang cod maupun non cod tolong pihak sopi mengapa belanja sekarang jadi begini 🙄🙄😭😭😭😭 yg dari pihak pengiriman nya yg salah 🫩,1,1
akhir² ini pengiriman shopee sangat lama kayak pesan barang dari luar negri. saya khuwatir pesanan lama di perjalanan akan rusak darluwarsa patah pecah dan dll,1,1
cepat proses nya,2,2
Pengembalian sulit!!!,0,0
tida ragu lagi blanja di sope.aman dan nyaman..,2,2
"Apk paling Jago gabung 6 orderan pada driver shopeefood nya. Orderan instan mengGabung gabungan 30 ribu, Padahal 6 pelanggan bayar full argo instan. masuk ke driver hanya berapa 30% dari 100% argo. Parah emang Rakus,serakah,tamaknya aplikasi Dajjal",0,0
"tidak layak di pkai dan di gunakn apliksi ini, tidak membntu akun bodong bnyak penjuaal nya, saya beli brang harga 3juta datang nya lain pihak shopee tidak tnggung jwab sma sekli kebnyakan akun bidong,",0,0
"tolong ditindak padagang yang tidak amanah,jangan dibiarkan saja",0,0
pesanan terlalu lama sudah bener gak aplikasi sopo inj,0,0
"alhamdulillah Shopee sangat membantu saya dalam berbelanja, saya sudah lama berbelanja di Shopee tp limit paylater saya kok gak Naik-naik ya",2,2
"pengiriman dasarnyasesuailah, jika sdg cepat, barang hrs teliti memilihnya tapi PD cepat pelayanan lumayan",1,1
"apaan paket di tunda² mulu ngirimnya,dateng lama udah telat 2 hari ga ada kepastian,di apk status nya dalam proses pengantaran tapi telat nya 2 harii",0,0
posenan saya ga di Peking udah seminggu di cat ga di bales Ama toko nyah mana barang mau di pake lagi,0,0
mantap lah kalau belanja di shopee memuaskan,2,2
"barangnya dan dan hemat, tapi ngumpulin koin sama main game nya bikin naik darah murah ngeselin, mana katanya tanggal sekian koinya dikurangin dasa",1,1
"sekarang shopee lemot sekali pengirimannya tidak mau lebaran pengirimannya lemotttt , tidak seperti duluu cepat pun semenjak punya expedisi sendiri maaf ya aku kasih ulasan 3 bintang , apikasinya juga kadang lemott........",1,1
"shopee tolong donk diselidiki dan ditesurilagi, sekarang dishope banyak toko penipuan, banyak toko memang dibuat untuk menipu konsumen, belanja barang apa dikasih barang apa, bukan kualitas jelek tapi memang bukan barang yang diperjual belikan alias diganti, jadi mohon untuk pihak shope jangan sampai masalah ini mempengaruhi kualitas shope, jangan sampai terus bnyak konsumen terkena dan mengakibatkan konsumen kecewa dan akhirnya jadi beralih belanja ke platfom lain. terimakasih.",0,0
ajieb MasyaAllah kheir,2,2
"aplikasi untuk ini yang fersy baru,susah shope loding masuk,banyak aturannya",1,1
gak suka! sekarang shopee main batal²in paket sepihak. bhkan seller aja bingung sebelum dikemas tiba paket dibatalin. berlangganan vip pun percuma ujung²nya vchernya gabisa dpakek.,0,0
"Aplikasi yg bagus, selalu pakai shopee kalo mau belanja",2,2
"tolong dirubah..ketika saller kami foto produk, munculkan foto yang terbaru, jangan foto yang terlama, cari capek scrollnya...",1,1
"keluhan pertama apk nya lelet banget padahal jaringan bagus ,Kedua saat ikut war pas mau bayar udah dapet harga murah eh kembali lagi harga normal 10 JT sekian (flas sale iPhone) ,kalo gak gitu kalah sama bot plis keamanan nya upgrade dong ,aku udah ikutin event flas sale dari 2023 setiap ada event aku pasti ikut GK pernah dapet sebel tadi udah dapet harga kembali normal padahal waktu nya masih banyk",0,0
dengan melayani terbaik . terima kasih Shopee,2,2
"tadinya saya berharap banyak dan suka dengan shopee untuk bisa berjualan dan kami malah kasih bintang 5, kami pikir lebih bagus dari warung sebelah ternyata lebih bagus warung sebelah. kami kecewa 3 kali product kami terjual gara gara tidak dipickup pickup oleh kurir ekspedisi shopee 3 kali pruduct kami dibatalkan pembeli dan sistem, aduh kecewa banget rasanya.sudah senang product kami terjual malah kurir tidak pickup pickup, barang product kami yg dibatalkan dan kurir tidak pickup kulkas 1pintu",0,0
"Pengalaman buruk, paket ngak sampai² dri lebih dri tgl estimasi tibah. gak ada chet udah kurir setempat, di hubungi penjual gak ada kepastian, di hubungi kantor shopee gak ada respon baik, malahan Chet dan tfln gak di respon.",0,0
"suka sama shopee , karna murah¹ dan bagus",2,2
Bagus untuk orang yang teliti,2,2
"Dulu awal-awal pakai shopee suka banget sama jasa pengirimannya Tapi sekarang kecewa sama jasa pengirimannya Lama banget terus suka molor nyampeknya,",1,1
kecewa sekarang pengirimanya selalu diterima undur terus estimasi pengiriman selalu meleset dari 3-4 hari ke 7-10 hari barang baru di,1,1
lumayan baik,1,2
saya mau shopee di hapus,0,0
"punya gw padahal bisa cod, ngk akun baru",1,1
"Paket bisa salah jalur. saya baru saja mengalami. lapor spx gk digubris, lapor admin sopi cuma dksh harapan tp gk ada kejelasan. saya minta bukti paket saya aman atau tdk gk dksh. fyi, saya order di toko yg sama, brang sama, ekpedisi sama gk ada kendala 3hari lalu. kalo memang kendala paket numpuk di dc krna lebaran saya msh bisa toleransi, lah ini ""SALAH JALUR"". Mshkah klean prcya shopee? dari saya msh puasa sampe berbuka ttep harus nahan emosi, krna pket ini pnting bgt buat saya & keluarga",0,0
order shopee food nunggu 1 jam lebih,0,0
mantap poull deh kalo soal aplikasi inii,2,2
"bagus untuk berbelanja, sangat mudah dan bnyak diskon gratis ongkir, tapi tolong untuk kurir untuk chat klo mau rmh dan adain kontak kurir pas dia kirim barang, spy klo ada kendala atau lagi g di smpe, bisa tanya siapa yg nerima. saya pesen paket hp, di apk sudah di trima tpi gda chat ke saya dan saya lgi kerja jdi brg bkn diterima oleh saya, mau chat kurir jg bingung gbsa nanya gda no hp kurirnya yg tersedia. tolong dong shoope wajibkan setiap kurir shoppee untuk cht cust! / cantumkan no kurir.",1,1
cocok buat belanja,2,2
banyak gratis ongkir tapi pengiriman telat padahal barang sangat dibutuhkan,1,1
burik g bisa verifikasi di korupsi,0,0
"shopee banget lama sekarang semenjak ekspedisi di pegang shopee sendiri jadi makin lelet,gak kaya dulu pas masih ada banyak pilihan ekspedisi nya",0,0
"bilang kalo beli barang min 30k bisa dapet chatgpt plus, tapi pas di klaim malah error, tolong perbaiki dong,,,,",0,0
"Shopee terbaik, barang murah kualitas mantulita",2,2
masa mau pesen shoppe food tetapi gabisa di gunain... malah pas mau pencet promo vouchernya eh malah balik ke lobby lgi,0,0
"menjawab chat customer dengan AI, bukan dengan manusia. tidak menyelesaikan masalah",0,0
"SPX LELET ABISSSSSS, GA NGERTI LAGI GW",0,0
mantap kalo mau beli di sini aj pesannya,2,2
"NYESEL BANGET PAKE APK SHOPEE PESANAN SAYA SUDAH SEMINGGU GA D KIRIM KIRIM MANA UANG NYA DULUAN UDAH D CHT LEWAT PENJUAL, JASA KIRM SAMA CS NYA GADA TINDAKAN SAMA",0,0
"tadinya mau ngasih bintang 5, setelah tapi update malah banyak bug, makanya bintangnya aku kurangin",1,1
kurang memuas kan kebanyakan barang di padahal dengan kurir gak amanah banget returnd bulan puasa,0,0
aPas ngasi ulasan udah take vidio malah leletttttttttttt,0,1
top dah,2,2
